Mean Overscan Level (ADU),Detector,Amp,Run,READTIME setting,exp_id
26788.265493765495,R12_S12,C02,13040,2.232,3021111600213
26646.56660931661,R12_S12,C01,13040,2.232,3021111600213
26935.256114256114,R12_S12,C00,13040,2.232,3021111600213
26733.118076368075,R12_S12,C10,13040,2.232,3021111600214
26810.349742849743,R12_S12,C11,13040,2.232,3021111600214
26614.93647093647,R12_S12,C12,13040,2.232,3021111600214
26428.964868464867,R12_S12,C13,13040,2.232,3021111600214
26882.411033411034,R12_S12,C14,13040,2.232,3021111600214
26570.016687016687,R12_S12,C15,13040,2.232,3021111600214
26921.826284826286,R12_S12,C16,13040,2.232,3021111600214
26851.666435416435,R12_S12,C17,13040,2.232,3021111600214
26443.912208162208,R12_S12,C07,13040,2.232,3021111600214
26698.648194398196,R12_S12,C06,13040,2.232,3021111600214
26861.8856976357,R12_S12,C05,13040,2.232,3021111600214
26797.13850963851,R12_S12,C04,13040,2.232,3021111600214
26678.751322751323,R12_S12,C03,13040,2.232,3021111600214
26788.844655344656,R12_S12,C02,13040,2.232,3021111600214
26646.375864875867,R12_S12,C01,13040,2.232,3021111600214
26934.4213009213,R12_S12,C00,13040,2.232,3021111600214
26733.19289044289,R12_S12,C10,13040,2.232,3021111600215
26810.404854404853,R12_S12,C11,13040,2.232,3021111600215
26615.159155659156,R12_S12,C12,13040,2.232,3021111600215
26429.758769008768,R12_S12,C13,13040,2.232,3021111600215
26882.204906204905,R12_S12,C14,13040,2.232,3021111600215
26569.976828726827,R12_S12,C15,13040,2.232,3021111600215
26921.806804306805,R12_S12,C16,13040,2.232,3021111600215
26851.755374255376,R12_S12,C17,13040,2.232,3021111600215
26443.944166944166,R12_S12,C07,13040,2.232,3021111600215
26697.888167388166,R12_S12,C06,13040,2.232,3021111600215
26861.9065009065,R12_S12,C05,13040,2.232,3021111600215
26797.87579087579,R12_S12,C04,13040,2.232,3021111600215
26679.247826247825,R12_S12,C03,13040,2.232,3021111600215
26788.297452547453,R12_S12,C02,13040,2.232,3021111600215
26646.15293040293,R12_S12,C01,13040,2.232,3021111600215
26935.549598549598,R12_S12,C00,13040,2.232,3021111600215
26733.22508972509,R12_S12,C10,13040,2.232,3021111600216
26810.140045140044,R12_S12,C11,13040,2.232,3021111600216
26615.15564065564,R12_S12,C12,13040,2.232,3021111600216
26429.553132053134,R12_S12,C13,13040,2.232,3021111600216
26881.890775890777,R12_S12,C14,13040,2.232,3021111600216
26569.93056018056,R12_S12,C15,13040,2.232,3021111600216
26922.238492988494,R12_S12,C16,13040,2.232,3021111600216
26851.860352610354,R12_S12,C17,13040,2.232,3021111600216
26444.001202501204,R12_S12,C07,13040,2.232,3021111600216
26698.562937062936,R12_S12,C06,13040,2.232,3021111600216
26861.74827949828,R12_S12,C05,13040,2.232,3021111600216
26797.320087320088,R12_S12,C04,13040,2.232,3021111600216
26679.940161690163,R12_S12,C03,13040,2.232,3021111600216
26788.04066304066,R12_S12,C02,13040,2.232,3021111600216
26646.47014097014,R12_S12,C01,13040,2.232,3021111600216
26935.086487586486,R12_S12,C00,13040,2.232,3021111600216
26733.128223628224,R12_S12,C10,13040,2.232,3021111600217
26810.11311836312,R12_S12,C11,13040,2.232,3021111600217
26615.30685980686,R12_S12,C12,13040,2.232,3021111600217
26429.000092500093,R12_S12,C13,13040,2.232,3021111600217
26881.698088948087,R12_S12,C14,13040,2.232,3021111600217
26570.318505568506,R12_S12,C15,13040,2.232,3021111600217
26921.777306027307,R12_S12,C16,13040,2.232,3021111600217
26851.776196026196,R12_S12,C17,13040,2.232,3021111600217
26444.409405409406,R12_S12,C07,13040,2.232,3021111600217
26698.958402708402,R12_S12,C06,13040,2.232,3021111600217
26861.96301846302,R12_S12,C05,13040,2.232,3021111600217
26797.20128020128,R12_S12,C04,13040,2.232,3021111600217
26679.60816960817,R12_S12,C03,13040,2.232,3021111600217
26788.00231250231,R12_S12,C02,13040,2.232,3021111600217
26646.169608169606,R12_S12,C01,13040,2.232,3021111600217
26934.804066304067,R12_S12,C00,13040,2.232,3021111600217
26733.105070855072,R12_S12,C10,13040,2.232,3021111600218
26810.40194990195,R12_S12,C11,13040,2.232,3021111600218
26614.832565582565,R12_S12,C12,13040,2.232,3021111600218
26429.288054538054,R12_S12,C13,13040,2.232,3021111600218
26882.46706071706,R12_S12,C14,13040,2.232,3021111600218
26570.035584785586,R12_S12,C15,13040,2.232,3021111600218
26922.146945646946,R12_S12,C16,13040,2.232,3021111600218
